Product Title,Image URL,Category,Collection,Price PKR
3 Piece Iconic Blue kebab Serving Set,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_e600358e-3cc1-4892-813b-23a6aeced4ff-removebg-preview.png?v=1771904325,Serving Dishes,Blue Pattern,26.25
Iconic Blue kebab Dish(Long)|Blue Pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_d54f08e9-fd3a-48fc-b8cb-3b8d0f9d2cca-removebg-preview_1.png?v=1771904321,Serving Dishes,Blue Pattern,40.00
3-tier ceramic cake stand,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/WhatsAppImage2025-04-13at4.22.05AM_84a644c2-6b25-4ecd-bb72-d71efee5a72c.jpg?v=1771904314,Serving Dishes,Other Collections,40.43
3-tier ceramic cake stand,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/WhatsAppImage2025-04-13at4.22.05AM_2.jpg?v=1771904313,Serving Dishes,Other Collections,40.84
3-tier ceramic cake stand,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/WhatsAppImage2025-04-16at11.09.48PM.jpg?v=1771904312,Serving Dishes,Other Collections,60.54
3-tier ceramic cake stand,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/WhatsAppImage2025-04-13at4.22.04AM.jpg?v=1771904309,Serving Dishes,Other Collections,60.43
3-tier ceramic cake stand,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/WhatsAppImage2025-04-13at4.22.04AM_1.jpg?v=1771904307,Serving Dishes,Other Collections,40.50
3 Tier Ceramic Cake Stand,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/WhatsAppImage2025-04-16at11.09.47PM.jpg?v=1771904307,Serving Dishes,Other Collections,40.50
Serving Tray,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/q1-removebg-preview.png?v=1771904298,Serving Dishes,Other Collections,18.00
Jug Glass Set,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/4hLlszgYU718o08HtULFrzuHerfDD9L9ubaFSELj-removebg-preview.png?v=1771904196,Serving Dishes,Other Collections,68.00
