Title,Handle,Price,Original_Price,Category,Image_URL
Ceramic Floral Tea Set 3,ceramic-floral-tea-set-3,100.00,,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets > Tea Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/186-removebg-preview.png?v=1771904394
Ceramic Floral Tea Set 2,ceramic-floral-tea-set-2,100.00,,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets > Tea Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/185-removebg-preview.png?v=1771904393
Ceramic Floral Tea Set (MC-1),ceramic-floral-tea-set-mc-1,100.00,,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets > Tea Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/187-removebg-preview.png?v=1771904392
Ceramic Floral Tea Set (BC-P),ceramic-floral-tea-set-bc-p,100.00,,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets > Tea Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/188-removebg-preview.png?v=1771904391
Ceramic Floral Desert Art Tea Set,ceramic-floral-desert-art-tea-set,110.00,,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets > Tea Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/182-removebg-preview.png?v=1771904389
Ceramic Floral Surahi Vase (MC-II),ceramic-floral-surahi-vase-mc-ii,55.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/138-removebg-preview.png?v=1771904388
Ceramic Floral Mughal Vase - I,ceramic-floral-mughal-vase-i,70.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/133-removebg-preview.png?v=1771904387
Ceramic Floral Surahi Moonflask Vase (Large),ceramic-floral-surahi-moonflask-vase-large,80.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/114-removebg-preview.png?v=1771904386
Ceramic Floral Surahi Vase (MC-L),ceramic-floral-surahi-vase-mc-l,55.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/141-removebg-preview.png?v=1771904385
Ceramic Floral Special Vase MLV - I (M-C),ceramic-floral-special-vase-mlv-i-m-c,50.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/102-removebg-preview.png?v=1771904384
Ceramic Floral Round Vase - Large (M-C),ceramic-floral-round-vase-large-m-c,72.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/126-removebg-preview.png?v=1771904384
Ceramic Floral Special Mold Jar MLV - I,ceramic-floral-special-mold-jar-mlv-i,58.00,,Home & Garden > Decor > Decorative Jars,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/111-removebg-preview.png?v=1771904382
Handmade Artisanal Special Ceramic Mold (BC-L),handmade-artisanal-special-ceramic-mold-bc-l,90.00,,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Tools,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/15_300fee47-f61a-448b-bd42-816bfe12e7bd-remov...
4 Piece White Floral Rice Serving Set|Blue pottery,4-piece-white-floral-rice-serving-set-blue-pottery,51.38,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_7416adae-f960-425d-8...
5 Piece White Floral Serving Set|Blue pottery,5-piece-white-floral-serving-set-blue-pottery,69.25,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_dec22459-7dfc-4395-8...
Set of Three White Floral Round Serving dish|Blue pottery,set-of-three-white-floral-round-serving-dish-blue-pottery,65.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_b7b88e6a-11b9-461f-b...
White Floral Donga/Cover Pot|Blue Pottery,white-floral-donga-cover-pot-blue-pottery,50.00,,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Tagines & Clay Cooking Pots > Clay Cooking Pots,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_55a0cce6-1ca4-4555-8...
White Floral Handi/Traditional Pot|Blue Pottery,white-floral-handi-traditional-pot-blue-pottery-1,50.00,,Home & Garden > Decor > Decorative Bowls,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_9f05b565-d2f2-4234-9...
White Floral Karahi/Traditional Wok|Blue Pottery,white-floral-karahi-traditional-wok-blue-pottery,44.00,,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Woks,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Photoroom-20240608-113025_4-removebg-preview....
White Floral Kebab/Salad Serving Dish|Blue Pottery,white-floral-kebab-salad-serving-dish-blue-pottery,40.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_68eafa1f-7a58-45da-a...
Pitcher Vase with Handle,pitcher-vase-with-handle,48.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/44sd.png?v=1771904368
Ash Tray,ash-tray,30.00,,Home & Garden > Smoking Accessories > Ashtrays,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/23c.png?v=1771904367
White Floral Large Round Platter/ Pizza Plate|Blue pottery,white-floral-large-round-platter-pizza-plate-blue-pottery,40.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_ad2ce38e-b85e-4dfd-9...
Rice Plater Dish,rice-plater-dish,50.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/22d.png?v=1771904364
Fruit Dish,fruit-dish,48.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/21q.png?v=1771904363
